Name,Rarity,Splinter,Type
'Goblin Shaman',Common,Red,Monster
'Giant Roc',Common,Red,Monster
'Kobold Miner',Common,Red,Monster
'Fire Beetle',Common,Red,Monster
'Malric Inferno',Rare,Red,Summoner
'Serpentine Soldier',Rare,Red,Monster
'Pit Ogre',Rare,Red,Monster
'Cerberus',Rare,Red,Monster
'Fire Demon',Epic,Red,Monster
'Serpent of the Flame',Epic,Red,Monster
'Elemental Phoenix',Legendary,Red,Monster
'Pirate Captain',Common,Blue,Monster
'Spineback Turtle',Common,Blue,Monster
'Crustacean King',Common,Blue,Monster
'Sabre Shark',Common,Blue,Monster
'Alric Stormbringer',Rare,Blue,Summoner
'Medusa',Rare,Blue,Monster
'Water Elemental',Rare,Blue,Monster
'Frozen Soldier',Rare,Blue,Monster
'Mischievous Mermaid',Epic,Blue,Monster
'Naga Warrior',Epic,Blue,Monster
'Frost Giant',Legendary,Blue,Monster
'Flesh Golem',Common,Green,Monster
'Goblin Sorcerer',Common,Green,Monster
'Rexxie',Common,Green,Monster
'Minotaur Warrior',Common,Green,Monster
'Lyanna Natura',Rare,Green,Summoner
'Earth Elemental',Rare,Green,Monster
'Stone Golem',Rare,Green,Monster
'Stonesplitter Orc',Rare,Green,Monster
'Magi of the Forest',Epic,Green,Monster
'Swamp Thing',Epic,Green,Monster
'Spirit of the Forest',Legendary,Green,Monster
'Divine Healer',Common,White,Monster
'Feral Spirit',Common,White,Monster
'Silvershield Knight',Common,White,Monster
'Silvershield Warrior',Common,White,Monster
'Tyrus Paladium',Rare,White,Summoner
'Peacebringer',Rare,White,Monster
'Silvershield Paladin',Rare,White,Monster
'Clay Golem',Rare,White,Monster
'Defender of Truth',Epic,White,Monster
'Air Elemental',Epic,White,Monster
'Angel of Light',Legendary,White,Monster
'Animated Corpse',Common,Black,Monster
'Haunted Spider',Common,Black,Monster
'Skeleton Assassin',Common,Black,Monster
'Spineback Wolf',Common,Black,Monster
'Zintar Mortalis',Rare,Black,Summoner
'Haunted Spirit',Rare,Black,Monster
'Twisted Jester',Rare,Black,Monster
'Undead Priest',Rare,Black,Monster
'Enchantress of the Night',Epic,Black,Monster
'Screaming Banshee',Epic,Black,Monster
'Lord of Darkness',Legendary,Black,Monster
'Selenia Sky',Legendary,Purple,Summoner
'Lightning Dragon',Legendary,Purple,Monster
'Chromatic Dragon',Legendary,Purple,Monster
'Gold Dragon',Legendary,Purple,Monster
